grad_clip,n_epochs,n_h_layers,n_neurones,patience,valid_loss_Net_D_W,valid_loss_Net_D_W_es,valid_loss_Net_D_gc,valid_loss_Net_D_gc_es
1,50,4,50,15,0.012891997583210468,0.012891997583210468,0.008347568102180958,0.008347568102180958
2,50,4,50,15,0.012891997583210468,0.012891997583210468,0.00997375138103962,0.00997375138103962
4,50,4,50,15,0.012891997583210468,0.012891997583210468,0.011739308014512062,0.011739308014512062
0.5,50,4,50,20,0.012891997583210468,0.012891997583210468,0.008721605874598026,0.008721605874598026
1,50,4,50,20,0.012891997583210468,0.012891997583210468,0.008347568102180958,0.008347568102180958
2,50,4,50,20,0.012891997583210468,0.012891997583210468,0.00997375138103962,0.00997375138103962
4,50,4,50,20,0.012891997583210468,0.012891997583210468,0.011739308014512062,0.011739308014512062
0.5,100,4,50,5,0.012891997583210468,0.015093793161213398,0.008721593767404556,0.19324155151844025
1,100,4,50,5,0.012891997583210468,0.015093793161213398,0.008347555994987488,0.008757627569139004
2,100,4,50,5,0.012891997583210468,0.015093793161213398,0.009973720647394657,0.16358394920825958
4,100,4,50,5,0.012891997583210468,0.015093793161213398,0.011739308014512062,0.16313518583774567
0.5,100,4,50,10,0.012891997583210468,0.012891997583210468,0.008721593767404556,0.008721593767404556
1,100,4,50,10,0.012891997583210468,0.012891997583210468,0.008347555994987488,0.008347565308213234
2,100,4,50,10,0.012891997583210468,0.012891997583210468,0.009973720647394657,0.009973720647394657
4,100,4,50,10,0.012891997583210468,0.012891997583210468,0.011739308014512062,0.011739308014512062
0.5,100,4,50,15,0.012891997583210468,0.012891997583210468,0.008721593767404556,0.008721593767404556
1,100,4,50,15,0.012891997583210468,0.012891997583210468,0.008347555994987488,0.008347555994987488
2,100,4,50,15,0.012891997583210468,0.012891997583210468,0.009973720647394657,0.009973720647394657
4,100,4,50,15,0.012891997583210468,0.012891997583210468,0.011739308014512062,0.011739308014512062
0.5,100,4,50,20,0.012891997583210468,0.012891997583210468,0.008721593767404556,0.008721593767404556
1,100,4,50,20,0.012891997583210468,0.012891997583210468,0.008347555994987488,0.008347555994987488
2,100,4,50,20,0.012891997583210468,0.012891997583210468,0.009973720647394657,0.009973720647394657
4,100,4,50,20,0.012891997583210468,0.012891997583210468,0.011739308014512062,0.011739308014512062
0.5,30,4,100,5,0.028734201565384865,0.11639638990163803,0.019603857770562172,0.1635688990354538
1,30,4,100,5,0.028734201565384865,0.11639638990163803,0.01388258021324873,0.01388258021324873
2,30,4,100,5,0.028734201565384865,0.11639638990163803,0.014551482163369656,0.1630944311618805
4,30,4,100,5,0.028734201565384865,0.11639638990163803,0.028910299763083458,0.028910299763083458
0.5,30,4,100,10,0.028734201565384865,0.028734201565384865,0.019603857770562172,0.019603857770562172
1,30,4,100,10,0.028734201565384865,0.028734201565384865,0.01388258021324873,0.01388258021324873
2,30,4,100,10,0.028734201565384865,0.028734201565384865,0.014551482163369656,0.014551482163369656
4,30,4,100,10,0.028734201565384865,0.028734201565384865,0.028910299763083458,0.028910299763083458
0.5,30,4,100,15,0.028734201565384865,0.028734201565384865,0.019603857770562172,0.019603857770562172
1,30,4,100,15,0.028734201565384865,0.028734201565384865,0.01388258021324873,0.01388258021324873
2,30,4,100,15,0.028734201565384865,0.028734201565384865,0.014551482163369656,0.014551482163369656
4,30,4,100,15,0.028734201565384865,0.028734201565384865,0.028910299763083458,0.028910299763083458
0.5,30,4,100,20,0.028734201565384865,0.028734201565384865,0.019603857770562172,0.019603857770562172
1,30,4,100,20,0.028734201565384865,0.028734201565384865,0.01388258021324873,0.01388258021324873
2,30,4,100,20,0.028734201565384865,0.028734201565384865,0.014551482163369656,0.014551482163369656
4,30,4,100,20,0.028734201565384865,0.028734201565384865,0.028910299763083458,0.028910299763083458
0.5,50,4,100,5,0.01203194074332714,0.11639638990163803,0.01012849435210228,0.1635688990354538
1,50,4,100,5,0.01203194074332714,0.11639638990163803,0.00766249094158411,0.008198452182114124
2,50,4,100,5,0.01203194074332714,0.11639638990163803,0.008199870586395264,0.1630944311618805
4,50,4,100,5,0.01203194074332714,0.11639638990163803,0.011580419726669788,0.011580419726669788
0.5,50,4,100,10,0.01203194074332714,0.01203194074332714,0.01012849435210228,0.01012849435210228
1,50,4,100,10,0.01203194074332714,0.01203194074332714,0.00766249094158411,0.00766249094158411
2,50,4,100,10,0.01203194074332714,0.01203194074332714,0.008199870586395264,0.008199870586395264
4,50,4,100,10,0.01203194074332714,0.01203194074332714,0.011580419726669788,0.011580419726669788
0.5,50,4,100,15,0.01203194074332714,0.01203194074332714,0.01012849435210228,0.01012849435210228
1,50,4,100,15,0.01203194074332714,0.01203194074332714,0.00766249094158411,0.00766249094158411
2,50,4,100,15,0.01203194074332714,0.01203194074332714,0.008199870586395264,0.008199870586395264
4,50,4,100,15,0.01203194074332714,0.01203194074332714,0.011580419726669788,0.011580419726669788
0.5,50,4,100,20,0.01203194074332714,0.01203194074332714,0.01012849435210228,0.01012849435210228
1,50,4,100,20,0.01203194074332714,0.01203194074332714,0.00766249094158411,0.00766249094158411
2,50,4,100,20,0.01203194074332714,0.01203194074332714,0.008199870586395264,0.008199870586395264
4,50,4,100,20,0.01203194074332714,0.01203194074332714,0.011580419726669788,0.011580419726669788
0.5,100,4,100,5,0.01203194074332714,0.11639638990163803,0.010128334164619446,0.1635688990354538
1,100,4,100,5,0.01203194074332714,0.11639638990163803,0.00766241317614913,0.008198452182114124
2,100,4,100,5,0.01203194074332714,0.11639638990163803,0.008199858479201794,0.1630944311618805
4,100,4,100,5,0.01203194074332714,0.11639638990163803,0.011580109596252441,0.011580109596252441
0.5,100,4,100,10,0.01203194074332714,0.01203194074332714,0.010128334164619446,0.010128334164619446
1,100,4,100,10,0.01203194074332714,0.01203194074332714,0.00766241317614913,0.00766241317614913
2,100,4,100,10,0.01203194074332714,0.01203194074332714,0.008199858479201794,0.008199858479201794
4,100,4,100,10,0.01203194074332714,0.01203194074332714,0.011580109596252441,0.011580109596252441
0.5,100,4,100,15,0.01203194074332714,0.01203194074332714,0.010128334164619446,0.010128334164619446
1,100,4,100,15,0.01203194074332714,0.01203194074332714,0.00766241317614913,0.00766241317614913
2,100,4,100,15,0.01203194074332714,0.01203194074332714,0.008199858479201794,0.008199858479201794
4,100,4,100,15,0.01203194074332714,0.01203194074332714,0.011580109596252441,0.011580109596252441
0.5,100,4,100,20,0.01203194074332714,0.01203194074332714,0.010128334164619446,0.010128334164619446
1,100,4,100,20,0.01203194074332714,0.01203194074332714,0.00766241317614913,0.00766241317614913
2,100,4,100,20,0.01203194074332714,0.01203194074332714,0.008199858479201794,0.008199858479201794
4,100,4,100,20,0.01203194074332714,0.01203194074332714,0.011580109596252441,0.011580109596252441
0.5,30,6,30,5,0.02457214705646038,0.189631849527359,0.01323313731700182,0.01323313731700182
1,30,6,30,5,0.02457214705646038,0.189631849527359,0.017609000205993652,0.12932489812374115
2,30,6,30,5,0.02457214705646038,0.189631849527359,0.013726104982197285,0.12978944182395935
4,30,6,30,5,0.02457214705646038,0.189631849527359,0.017789170145988464,0.017789170145988464
0.5,30,6,30,10,0.02457214705646038,0.02457214705646038,0.01323313731700182,0.01323313731700182
1,30,6,30,10,0.02457214705646038,0.02457214705646038,0.017609000205993652,0.017609000205993652
2,30,6,30,10,0.02457214705646038,0.02457214705646038,0.013726104982197285,0.013726104982197285
4,30,6,30,10,0.02457214705646038,0.02457214705646038,0.017789170145988464,0.017789170145988464
0.5,30,6,30,15,0.02457214705646038,0.02457214705646038,0.01323313731700182,0.01323313731700182
1,30,6,30,15,0.02457214705646038,0.02457214705646038,0.017609000205993652,0.017609000205993652
2,30,6,30,15,0.02457214705646038,0.02457214705646038,0.013726104982197285,0.013726104982197285
4,30,6,30,15,0.02457214705646038,0.02457214705646038,0.017789170145988464,0.017789170145988464
0.5,30,6,30,20,0.02457214705646038,0.02457214705646038,0.01323313731700182,0.01323313731700182
1,30,6,30,20,0.02457214705646038,0.02457214705646038,0.017609000205993652,0.017609000205993652
2,30,6,30,20,0.02457214705646038,0.02457214705646038,0.013726104982197285,0.013726104982197285
4,30,6,30,20,0.02457214705646038,0.02457214705646038,0.017789170145988464,0.017789170145988464
0.5,50,6,30,5,0.01686808094382286,0.189631849527359,0.009885670617222786,0.010318691842257977
1,50,6,30,5,0.01686808094382286,0.189631849527359,0.010477090254426003,0.12932489812374115
2,50,6,30,5,0.01686808094382286,0.189631849527359,0.010866430588066578,0.12978944182395935
4,50,6,30,5,0.01686808094382286,0.189631849527359,0.011207321658730507,0.011207321658730507
0.5,50,6,30,10,0.01686808094382286,0.01686808094382286,0.009885670617222786,0.009885670617222786
1,50,6,30,10,0.01686808094382286,0.01686808094382286,0.010477090254426003,0.010477090254426003
2,50,6,30,10,0.01686808094382286,0.01686808094382286,0.010866430588066578,0.010866430588066578
4,50,6,30,10,0.01686808094382286,0.01686808094382286,0.011207321658730507,0.011207321658730507
0.5,50,6,30,15,0.01686808094382286,0.01686808094382286,0.009885670617222786,0.009885670617222786
1,50,6,30,15,0.01686808094382286,0.01686808094382286,0.010477090254426003,0.010477090254426003
2,50,6,30,15,0.01686808094382286,0.01686808094382286,0.010866430588066578,0.010866430588066578
4,50,6,30,15,0.01686808094382286,0.01686808094382286,0.011207321658730507,0.011207321658730507
0.5,50,6,30,20,0.01686808094382286,0.01686808094382286,0.009885670617222786,0.009885670617222786
1,50,6,30,20,0.01686808094382286,0.01686808094382286,0.010477090254426003,0.010477090254426003
2,50,6,30,20,0.01686808094382286,0.01686808094382286,0.010866430588066578,0.010866430588066578
4,50,6,30,20,0.01686808094382286,0.01686808094382286,0.011207321658730507,0.011207321658730507
0.5,100,6,30,5,0.016868041828274727,0.189631849527359,0.009885633364319801,0.010318691842257977
1,100,6,30,5,0.016868041828274727,0.189631849527359,0.010477090254426003,0.12932489812374115
2,100,6,30,5,0.016868041828274727,0.189631849527359,0.010866430588066578,0.12978944182395935
4,100,6,30,5,0.016868041828274727,0.189631849527359,0.01120717916637659,0.01120717916637659
0.5,100,6,30,10,0.016868041828274727,0.016868041828274727,0.009885633364319801,0.009885633364319801
1,100,6,30,10,0.016868041828274727,0.016868041828274727,0.010477090254426003,0.010477090254426003
2,100,6,30,10,0.016868041828274727,0.016868041828274727,0.010866430588066578,0.010866430588066578
4,100,6,30,10,0.016868041828274727,0.016868041828274727,0.01120717916637659,0.01120717916637659
0.5,100,6,30,15,0.016868041828274727,0.016868041828274727,0.009885633364319801,0.009885633364319801
1,100,6,30,15,0.016868041828274727,0.016868041828274727,0.010477090254426003,0.010477090254426003
2,100,6,30,15,0.016868041828274727,0.016868041828274727,0.010866430588066578,0.010866430588066578
4,100,6,30,15,0.016868041828274727,0.016868041828274727,0.01120717916637659,0.01120717916637659
0.5,100,6,30,20,0.016868041828274727,0.016868041828274727,0.009885633364319801,0.009885633364319801
1,100,6,30,20,0.016868041828274727,0.016868041828274727,0.010477090254426003,0.010477090254426003
2,100,6,30,20,0.016868041828274727,0.016868041828274727,0.010866430588066578,0.010866430588066578
4,100,6,30,20,0.016868041828274727,0.016868041828274727,0.01120717916637659,0.01120717916637659
0.5,30,6,50,5,0.025535304099321365,0.025535304099321365,0.027514077723026276,0.1692798137664795
1,30,6,50,5,0.025535304099321365,0.025535304099321365,0.02115573175251484,0.02115573175251484
2,30,6,50,5,0.025535304099321365,0.025535304099321365,0.018455827608704567,0.018455827608704567
4,30,6,50,5,0.025535304099321365,0.025535304099321365,0.02174565941095352,0.02174565941095352
0.5,30,6,50,10,0.025535304099321365,0.025535304099321365,0.027514077723026276,0.027514077723026276
1,30,6,50,10,0.025535304099321365,0.025535304099321365,0.02115573175251484,0.02115573175251484
2,30,6,50,10,0.025535304099321365,0.025535304099321365,0.018455827608704567,0.018455827608704567
4,30,6,50,10,0.025535304099321365,0.025535304099321365,0.02174565941095352,0.02174565941095352
0.5,30,6,50,15,0.025535304099321365,0.025535304099321365,0.027514077723026276,0.027514077723026276
1,30,6,50,15,0.025535304099321365,0.025535304099321365,0.02115573175251484,0.02115573175251484
2,30,6,50,15,0.025535304099321365,0.025535304099321365,0.018455827608704567,0.018455827608704567
4,30,6,50,15,0.025535304099321365,0.025535304099321365,0.02174565941095352,0.02174565941095352
0.5,30,6,50,20,0.025535304099321365,0.025535304099321365,0.027514077723026276,0.027514077723026276
1,30,6,50,20,0.025535304099321365,0.025535304099321365,0.02115573175251484,0.02115573175251484
2,30,6,50,20,0.025535304099321365,0.025535304099321365,0.018455827608704567,0.018455827608704567
4,30,6,50,20,0.025535304099321365,0.025535304099321365,0.02174565941095352,0.02174565941095352
0.5,50,6,50,5,0.012691015377640724,0.013296346180140972,0.017654918134212494,0.1692798137664795
1,50,6,50,5,0.012691015377640724,0.013296346180140972,0.012627736665308475,0.012627736665308475
2,50,6,50,5,0.012691015377640724,0.013296346180140972,0.010939917527139187,0.010939917527139187
4,50,6,50,5,0.012691015377640724,0.013296346180140972,0.01431285310536623,0.01431285310536623
0.5,50,6,50,10,0.012691015377640724,0.012691015377640724,0.017654918134212494,0.017654918134212494
1,50,6,50,10,0.012691015377640724,0.012691015377640724,0.012627736665308475,0.012627736665308475
2,50,6,50,10,0.012691015377640724,0.012691015377640724,0.010939917527139187,0.010939917527139187
4,50,6,50,10,0.012691015377640724,0.012691015377640724,0.01431285310536623,0.01431285310536623
0.5,50,6,50,15,0.012691015377640724,0.012691015377640724,0.017654918134212494,0.017654918134212494
1,50,6,50,15,0.012691015377640724,0.012691015377640724,0.012627736665308475,0.012627736665308475
2,50,6,50,15,0.012691015377640724,0.012691015377640724,0.010939917527139187,0.010939917527139187
4,50,6,50,15,0.012691015377640724,0.012691015377640724,0.01431285310536623,0.01431285310536623
0.5,50,6,50,20,0.012691015377640724,0.012691015377640724,0.017654918134212494,0.017654918134212494
1,50,6,50,20,0.012691015377640724,0.012691015377640724,0.012627736665308475,0.012627736665308475
2,50,6,50,20,0.012691015377640724,0.012691015377640724,0.010939917527139187,0.010939917527139187
4,50,6,50,20,0.012691015377640724,0.012691015377640724,0.01431285310536623,0.01431285310536623
0.5,100,6,50,5,0.012690333649516106,0.013296346180140972,0.01765485294163227,0.1692798137664795
1,100,6,50,5,0.012690333649516106,0.013296346180140972,0.01262756623327732,0.01262756623327732
2,100,6,50,5,0.012690333649516106,0.013296346180140972,0.010939917527139187,0.010939917527139187
4,100,6,50,5,0.012690333649516106,0.013296346180140972,0.01431282702833414,0.01431282702833414
0.5,100,6,50,10,0.012690333649516106,0.012690333649516106,0.01765485294163227,0.01765485294163227
1,100,6,50,10,0.012690333649516106,0.012690333649516106,0.01262756623327732,0.01262756623327732
2,100,6,50,10,0.012690333649516106,0.012690333649516106,0.010939917527139187,0.010939917527139187
4,100,6,50,10,0.012690333649516106,0.012690333649516106,0.01431282702833414,0.01431282702833414
0.5,100,6,50,15,0.012690333649516106,0.012690333649516106,0.01765485294163227,0.01765485294163227
1,100,6,50,15,0.012690333649516106,0.012690333649516106,0.01262756623327732,0.01262756623327732
2,100,6,50,15,0.012690333649516106,0.012690333649516106,0.010939917527139187,0.010939917527139187
4,100,6,50,15,0.012690333649516106,0.012690333649516106,0.01431282702833414,0.01431282702833414
0.5,100,6,50,20,0.012690333649516106,0.012690333649516106,0.01765485294163227,0.01765485294163227
1,100,6,50,20,0.012690333649516106,0.012690333649516106,0.01262756623327732,0.01262756623327732
2,100,6,50,20,0.012690333649516106,0.012690333649516106,0.010939917527139187,0.010939917527139187
4,100,6,50,20,0.012690333649516106,0.012690333649516106,0.01431282702833414,0.01431282702833414
0.5,30,6,100,5,0.19610567390918732,0.19610567390918732,0.02541279047727585,0.13522644340991974
1,30,6,100,5,0.19610567390918732,0.19610567390918732,0.01791534386575222,0.16272002458572388
2,30,6,100,5,0.19610567390918732,0.19610567390918732,0.026319557800889015,0.26890864968299866
4,30,6,100,5,0.19610567390918732,0.19610567390918732,0.027917856350541115,0.027917856350541115
0.5,30,6,100,10,0.19610567390918732,0.19610567390918732,0.02541279047727585,0.02541279047727585
1,30,6,100,10,0.19610567390918732,0.19610567390918732,0.01791534386575222,0.01791534386575222
2,30,6,100,10,0.19610567390918732,0.19610567390918732,0.026319557800889015,0.026319557800889015
4,30,6,100,10,0.19610567390918732,0.19610567390918732,0.027917856350541115,0.027917856350541115
0.5,30,6,100,15,0.19610567390918732,0.19610567390918732,0.02541279047727585,0.02541279047727585
1,30,6,100,15,0.19610567390918732,0.19610567390918732,0.01791534386575222,0.01791534386575222
2,30,6,100,15,0.19610567390918732,0.19610567390918732,0.026319557800889015,0.026319557800889015
4,30,6,100,15,0.19610567390918732,0.19610567390918732,0.027917856350541115,0.027917856350541115
0.5,30,6,100,20,0.19610567390918732,0.19610567390918732,0.02541279047727585,0.02541279047727585
1,30,6,100,20,0.19610567390918732,0.19610567390918732,0.01791534386575222,0.01791534386575222
2,30,6,100,20,0.19610567390918732,0.19610567390918732,0.026319557800889015,0.026319557800889015
4,30,6,100,20,0.19610567390918732,0.19610567390918732,0.027917856350541115,0.027917856350541115
0.5,50,6,100,5,0.19610567390918732,0.19610567390918732,0.010531364940106869,0.13522644340991974
1,50,6,100,5,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.16272002458572388
2,50,6,100,5,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.26890864968299866
4,50,6,100,5,0.19610567390918732,0.19610567390918732,0.012897109612822533,0.012897109612822533
0.5,50,6,100,10,0.19610567390918732,0.19610567390918732,0.010531364940106869,0.010531364940106869
1,50,6,100,10,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.009503220207989216
2,50,6,100,10,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.014759792014956474
4,50,6,100,10,0.19610567390918732,0.19610567390918732,0.012897109612822533,0.012897109612822533
0.5,50,6,100,15,0.19610567390918732,0.19610567390918732,0.010531364940106869,0.010531364940106869
1,50,6,100,15,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.009503220207989216
2,50,6,100,15,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.014759792014956474
4,50,6,100,15,0.19610567390918732,0.19610567390918732,0.012897109612822533,0.012897109612822533
0.5,50,6,100,20,0.19610567390918732,0.19610567390918732,0.010531364940106869,0.010531364940106869
1,50,6,100,20,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.009503220207989216
2,50,6,100,20,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.014759792014956474
4,50,6,100,20,0.19610567390918732,0.19610567390918732,0.012897109612822533,0.012897109612822533
0.5,100,6,100,5,0.19610567390918732,0.19610567390918732,0.010531335137784481,0.13522644340991974
1,100,6,100,5,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.16272002458572388
2,100,6,100,5,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.26890864968299866
4,100,6,100,5,0.19610567390918732,0.19610567390918732,0.012896868400275707,0.012896868400275707
0.5,100,6,100,10,0.19610567390918732,0.19610567390918732,0.010531335137784481,0.010531335137784481
1,100,6,100,10,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.009503220207989216
2,100,6,100,10,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.014759792014956474
4,100,6,100,10,0.19610567390918732,0.19610567390918732,0.012896868400275707,0.012896868400275707
0.5,100,6,100,15,0.19610567390918732,0.19610567390918732,0.010531335137784481,0.010531335137784481
1,100,6,100,15,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.009503220207989216
2,100,6,100,15,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.014759792014956474
4,100,6,100,15,0.19610567390918732,0.19610567390918732,0.012896868400275707,0.012896868400275707
0.5,100,6,100,20,0.19610567390918732,0.19610567390918732,0.010531335137784481,0.010531335137784481
1,100,6,100,20,0.19610567390918732,0.19610567390918732,0.009503220207989216,0.009503220207989216
2,100,6,100,20,0.19610567390918732,0.19610567390918732,0.014759792014956474,0.014759792014956474
4,100,6,100,20,0.19610567390918732,0.19610567390918732,0.012896868400275707,0.012896868400275707
0.5,30,8,30,5,0.2109156996011734,0.2109156996011734,0.019931582733988762,0.019931582733988762
1,30,8,30,5,0.2109156996011734,0.2109156996011734,0.018521863967180252,0.018521863967180252
2,30,8,30,5,0.2109156996011734,0.2109156996011734,0.019950175657868385,0.07478401064872742
4,30,8,30,5,0.2109156996011734,0.2109156996011734,0.05711397901177406,0.07364437729120255
0.5,30,8,30,10,0.2109156996011734,0.2109156996011734,0.019931582733988762,0.019931582733988762
1,30,8,30,10,0.2109156996011734,0.2109156996011734,0.018521863967180252,0.018521863967180252
2,30,8,30,10,0.2109156996011734,0.2109156996011734,0.019950175657868385,0.019950175657868385
